id;name;lat;lon;category;subcategory;wheelchair;source
osm:way_31140597;Chiesa del Sacro Cuore;45.579662039779166;9.252881692064127;amenity;place_of_worship;;osm_way
osm:way_31140686;Chiesa della Santissima Trinità;45.5803196351575;9.270435494336661;amenity;place_of_worship;;osm_way
osm:way_31140716;Chiesa di San Giuseppe;45.57177715627035;9.261873637634858;amenity;place_of_worship;yes;osm_way
osm:way_31140745;Chiesa di San Fruttuoso;45.571030253411315;9.245073634861354;amenity;place_of_worship;;osm_way
osm:way_31140772;Chiesa di San Biagio;45.58731902347936;9.26642086989987;amenity;place_of_worship;;osm_way
osm:way_31140788;Viaggiator Goloso;45.57487473184586;9.260729033758679;shop;supermarket;;osm_way
osm:way_31140804;Villa Pallavicini Barbò;45.57207198557136;9.243537253236802;historic;manor;;osm_way
osm:way_31141550;Parcheggio di Piazza Castello;45.578428650700346;9.275197059546898;amenity;parking;;osm_way
osm:way_31141561;Parcheggio di Porta Castello;45.57828206585969;9.27442050601049;amenity;parking;yes;osm_way
osm:way_31142292;Collegio Bianconi;45.586595442795755;9.267286153826417;amenity;school;;osm_way
osm:way_31142332;Chiesa di San Carlo;45.57719148301225;9.268108846311014;amenity;place_of_worship;;osm_way
osm:way_34404709;Raccordo Junior;45.62041052392231;9.283309162859686;sport;motor;;osm_way
osm:way_34405200;Tondo;45.61335879281732;9.288513250805517;sport;motor;;osm_way
osm:way_37295690;"Centro natatorio comunale ""Pia Grande""";45.57398128402097;9.3081038249919;leisure;sports_centre;yes;osm_way
osm:way_38168747;Pit Lane;45.61798836417477;9.281192981888157;sport;motor;;osm_way
osm:way_38168756;Variante del Rettifilo;45.6247289574267;9.282248024322556;sport;motor;;osm_way
osm:way_49804445;Duomo di Monza;45.583602258153164;9.2757965466087;amenity;place_of_worship;yes;osm_way
osm:way_68392280;Oratorio Sant'Albino e San Damiano;45.56964580501484;9.31252929522113;amenity;community_centre;;osm_way
osm:way_71866912;Chiesa di San Carlo e Santa Maria Nascente;45.56960680228814;9.311761744612335;amenity;place_of_worship;;osm_way
osm:way_72007254;Scuola Primaria Alessandro Manzoni;45.571382609890925;9.312741937345566;amenity;school;;osm_way
osm:way_72160941;Autolavaggio;45.570930732391005;9.30095867045376;amenity;car_wash;;osm_way
osm:way_73319167;Automobili Moderne;45.563352904944765;9.289878671167243;shop;car;;osm_way
osm:way_75605813;Rose e fiori - Azienda agricola Nava Ambrogio;45.5720012;9.314443749999999;shop;florist;;osm_way
osm:way_104052636;Scuola dell'Infanzia San Luigi;45.569412139227666;9.312455534747954;amenity;kindergarten;;osm_way
osm:way_122196940;Il Ranch;45.58347025999336;9.296500222245399;leisure;playground;;osm_way
osm:way_124948424;Santuario del Carmelo;45.59239616751717;9.263276476379756;amenity;place_of_worship;;osm_way
osm:way_138132882;Jaguar Monza;45.58094660762941;9.276882664627278;shop;car;;osm_way
osm:way_138132893;Stadio Gino Alfonso Sada;45.57613248189191;9.27421688785667;leisure;stadium;limited;osm_way
osm:way_138132898;Parcheggio Rinascente;45.580221419835645;9.274844712022654;amenity;parking;;osm_way
osm:way_143945865;Opiquad Arena;45.585422421244346;9.309102369968757;leisure;stadium;;osm_way
osm:way_147144425;Thermo Fisher Scientific;45.5805370111464;9.300598165841244;office;company;;osm_way
osm:way_147144429;Monza Pizza Bikepark;45.57905279417481;9.301514323159575;leisure;sports_centre;;osm_way
osm:way_153773107;Carrefour Market;45.59350102189692;9.259724645936059;shop;supermarket;;osm_way
osm:way_157332027;B&B Hotel Milano - Monza;45.590133402771826;9.248475010429758;tourism;hotel;;osm_way
osm:way_157332028;Centro Commerciale Rondò dei Pini;45.59031565681507;9.249127981271638;shop;mall;;osm_way
osm:way_157822053;Largo Alpini;45.5958916238924;9.25430010998731;amenity;parking;;osm_way
osm:way_157822117;Chiesa di San Pio X;45.59635727662277;9.25327167187724;amenity;place_of_worship;;osm_way
osm:way_157873340;Autofficina Gianauto;45.59487088508182;9.248680600965473;shop;car_repair;;osm_way
osm:way_157958213;A.S. San Fruttuoso calcio - Monza;45.58699081052291;9.2433664692751;sport;soccer;;osm_way
osm:way_157958214;Galimberti;45.591707238268675;9.24607404635942;shop;car;;osm_way
osm:way_157958218;Il laghetto;45.58761015301417;9.244102321558632;leisure;fishing;;osm_way
